"","R_LH","R_LH0","R_ROD","R_ON","R_FH","R_ONFH","R_M","R_SLH"
"1",0.814729777463794,0.192334864005652,0.245319675026492,0.543800777110562,0.0761215118332745,0.162663369833981,0.485870717061109,0.528258565877782
"2",0.0492758742493818,0.815083009537266,0.450900741787354,0.379194630872483,0.628929706817379,0.509184033910279,0.421582479689156,0.388731896856235
"3",0.541681384669728,0.0492758742493818,0.866654892264218,0.505298481102084,0.838396326386436,0.758565877781703,0.802013422818792,0.789650300247262
"4",0.687566231013776,0.540974920522784,0.292299540798305,0.125927234192865,0.350936064994702,0.134051571882727,0.775167785234899,0.13299187566231
"5",0.40674673260332,0.688272695160721,0.246379371246909,0.591840339102791,0.4579653832568,0.523666548922642,0.175379724478983,0.308901448251501
"6",0.658954433062522,0.407099964676793,0.420522783468739,0.288413987990109,0.557930060049452,0.394030377958319,0.463970328505828,0.60738255033557
"7",0.182091133874956,0.659307665135994,0.709466619569057,0.327975980219004,0.444895796538326,0.346697280113034,0.842988343341575,0.774461321087955
"8",0.0973154362416107,0.181384669728011,0.152419639703285,0.188449311197457,0.669904627340163,0.368597668668315,0.141822677499117,0.311020840692335
"9",0.743023666548923,0.743730130695867,0.154185800070646,0.891027905333804,0.520840692334864,0.352348993288591,0.102613917343695,0.790003532320735
"10",0.433592370187213,0.743376898622395,0.243906746732603,0.466089720946662,0.188802543270929,0.244613210879548,0.359766866831508,0.461497703991522
"11",0.962380784175203,0.434298834334158,0.951783821971035,0.890674673260332,0.441716707877075,0.790003532320735,0.900565171317556,0.964500176616037
"12",0.189862239491346,0.962380784175203,0.448781349346521,0.415577534440127,0.753973860826563,0.62751677852349,0.330095372659838,0.27922995407983
"13",0.502472624514306,0.189155775344401,0.429000353232073,0.599258212645708,0.472094666195691,0.543800777110562,0.347756976333451,0.441716707877075
"14",0.0849523136700812,0.502472624514306,0.640939597315436,0.333980925468032,0.206464146944543,0.185976686683151,0.980395619922289,0.0107735782409043
"15",0.567114093959732,0.0849523136700812,0.781172730483928,0.768103143765454,0.796008477569763,0.852878841398799,0.657541504768633,0.147474390674673
"16",0.0803602967149417,0.566407629812787,0.504945249028612,0.920699399505475,0.573472271282232,0.887848816672554,0.155245496291063,0.214235252560933
"17",0.741963970328506,0.0803602967149417,0.45337336630166,0.620805369127517,0.817908866125044,0.798481102084069,0.159131049099258,0.504945249028612
"18",0.583009537265984,0.74267043447545,0.900918403391028,0.928470505121865,0.267926527728718,0.777287177675733,0.922818791946309,0.199046273401625
"19",0.303956199222889,0.583009537265984,0.752914164606146,0.664252914164606,0.875132462027552,0.866654892264218,0.385906040268456,0.658954433062522
"20",0.532497350759449,0.303249735075945,0.940480395619922,0.154892264217591,0.827092900035323,0.467502649240551,0.972271282232427,0.91681384669728
"21",0.235075944895797,0.531790886612504,0.482691628399859,0.702048746026139,0.889261744966443,0.891027905333804,0.239314729777464,0.0386789120452137
"22",0.355528081949841,0.234722712822324,0.912928293889085,0.458318615330272,0.97121158601201,0.922818791946309,0.468209113387496,0.962380784175203
"23",0.850052984811021,0.355174849876369,0.921759095725892,0.784351819145178,0.421229247615683,0.649417167078771,0.813316849169905,0.986400565171318
"24",0.211056163899682,0.850406216884493,0.517661603673614,0.214235252560933,0.736312257152949,0.446661956905687,0.469975273754857,0.830271988696574
"25",0.0789473684210526,0.21070293182621,0.419463087248322,0.633874955845991,0.935888378664783,0.914341222182974,0.0842458495231367,0.1827975980219
"26",0.904803956199223,0.0789473684210526,0.360473330978453,0.596785588131402,0.23719533733663,0.373896149770399,0.475980219003886,0.347756976333451
"27",0.0605793006004945,0.904450724125751,0.375309078064288,0.278170257859414,0.699222889438361,0.478099611444719,0.446308724832215,0.166195690568704
"28",0.437124690921936,0.0605793006004945,0.15948428117273,0.183857294242317,0.519074531967503,0.255563405157188,0.24955845990816,0.189509007417874
"29",0.92140586365242,0.43783115506888,0.3382197103497,0.741610738255034,0.544507241257506,0.687566231013776,0.200459201695514,0.204697986577181
"30",0.365065347933592,0.921052631578947,0.379194630872483,0.487990109501943,0.193394560226069,0.261921582479689,0.564288237371953,0.610914871070293
"31",0.977216531261038,0.365065347933592,0.374249381843871,0.910455669374779,0.243553514659131,0.710173083716001,0.291946308724832,0.0715294948781349
"32",0.663546450017662,0.977216531261038,0.883963263864359,0.475980219003886,0.862062875309078,0.775167785234899,0.911868597668668,0.159837513246203
"33",0.43006004945249,0.663899682091134,0.447721653126104,0.31490639350053,0.729600847756976,0.536382903567644,0.298657718120805,0.780819498410456
"34",0.112504415400918,0.430766513599435,0.303956199222889,0.772695160720593,0.37707523843165,0.609501942776404,0.181737901801484,0.355881314023313
"35",0.563581773225009,0.111797951253974,0.721476510067114,0.614447191805016,0.121335217237725,0.249205227834687,0.924938184387142,0.467149417167079
"36",0.956729070999647,0.562875309078064,0.854291769692688,0.744436594842812,0.940480395619922,0.9369480748852,0.626103850229601,0.100494524902861
"37",0.755386789120452,0.956729070999647,0.573472271282232,0.871246909219357,0.574885199576121,0.823207347227128,0.31031437654539,0.188096079123984
"38",0.891027905333804,0.756446485340869,0.544860473330978,0.912221829742141,0.303249735075945,0.76280466266337,0.214941716707877,0.776227481455316
"39",0.52331331684917,0.891027905333804,0.24496644295302,0.0704697986577181,0.273225008830802,0.0701165665842459,0.674496644295302,0.856764394206994
"40",0.118156128576475,0.522606852702225,0.514129282938891,0.277110561638997,0.595725891910986,0.402507947721653,0.667432002825857,0.323737195337337
"41",0.966972801130343,0.11744966442953,0.201165665842458,0.585128929706817,0.345637583892617,0.451253973860827,0.272165312610385,0.0570469798657718
"42",0.543800777110562,0.966972801130343,0.828505828329212,0.709819851642529,0.923878488166726,0.91681384669728,0.548746026139173,0.235429176969269
"43",0.24496644295302,0.543094312963617,0.938714235252561,0.908336276933946,0.828859060402685,0.935535146591311,0.854291769692688,0.229070999646768
"44",0.195867184740374,0.244259978806076,0.399682091133875,0.388731896856235,0.484104556693748,0.426527728717768,0.396149770399152,0.602084069233486
"45",0.0980219003885553,0.195513952666902,0.783292122924762,0.853938537619216,0.812963617096432,0.904803956199223,0.383786647827623,0.501059696220417
"46",0.605969622041681,0.097668668315083,0.498940303779583,0.598551748498764,0.663193217944189,0.675909572589191,0.255563405157188,0.723242670434475
"47",0.82038149063935,0.605969622041681,0.440303779583186,0.483044860473331,0.39120452137054,0.420522783468739,0.465383256799717,0.584422465559873
"48",0.820734722712822,0.820734722712822,0.479865771812081,0.68191451783822,0.242140586365242,0.436771458848463,0.418756623101378,0.838043094312964
"49",0.442069939950547,0.821087954786295,0.819675026492406,0.751148004238785,0.719003885552808,0.802366654892264,0.583009537265984,0.887495584599082
