,R_LH,R_LH0,R_ROD,R_ON,R_FH,R_ONFH,R_M,R_SLH,LH0_ON,LH0_FH,LH0_ONFH,LH0_M,LH0_SLH,LH0_ROD,ON_FH,ON_ONFH,ON_M,ON_SLH,ON_ROD,FH_ONFH,FH_M,FH_SLH,FH_ROD,ONFH_M,ONFH_SLH,ONFH_ROD,M_SLH,M_ROD,SLH_ROD
881,0.978127826,-0.283021041,0.278495883,0.316694817,-0.198804306,0.237118215,-0.063556774,0.567627258,2,3,2,3,2,2,1,0,1,0,0,2,3,2,2,1,0,0,2,2,0
882,0.265855403,0.976725009,1.765953328,1.765953328,0.469077514,1.778504283,0.706235572,1.443404243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
883,1.245975629,0.265855403,0.138782961,0.095852619,0.424847858,0.34795728,-0.342416481,0.43821734,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,2,0
884,-0.087115557,1.244086997,-0.33965003,-0.815499357,-0.804628028,-1.01384646,0.409660728,0.927442885,1,1,1,0,0,1,3,3,2,2,3,3,2,2,3,2,2,3,0,1,1
885,-0.460354119,-0.087115557,-0.950427305,0.452629311,-0.744723753,0.062684984,-0.939549281,-1.36198142,2,3,2,3,3,3,1,0,1,1,1,2,3,3,3,1,1,1,3,3,3
886,0.468106495,-0.461321644,0.370229652,-0.144934945,-1.685034317,-0.992263357,1.409709504,-0.197916964,3,3,3,2,3,2,3,3,2,3,2,3,2,3,2,2,3,2,1,0,2
887,0.309384829,0.468106495,-0.672034147,-1.423952382,0.041774784,-1.402694066,0.863773005,-0.122987091,1,0,1,0,1,1,2,3,2,3,3,1,0,1,1,2,3,3,1,1,3
888,0.359999346,0.309384829,-1.384316007,-1.290703057,1.414425285,-0.728745125,-1.453338416,0.037421094,1,0,1,1,0,1,2,3,3,2,3,1,1,0,1,3,2,3,2,3,1
889,-1.123164632,0.359999346,0.071405137,0.64715963,-0.094978594,0.562523919,0.097600888,-1.375299768,0,1,0,0,1,0,1,0,0,1,0,2,2,3,2,0,1,0,1,0,2
890,1.286710904,-1.124800984,-1.681446839,-1.230989023,-0.706235572,-1.348900371,-1.402694066,-0.969739557,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
891,1.196460679,1.284722495,-0.398332261,0.020882836,0.185510202,0.163424818,0.163424818,-1.722163434,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,3
892,-0.752784683,1.194682665,1.626781987,1.617056809,0.369298037,1.64334104,1.143003495,-0.521208619,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,2
893,1.095793763,-0.753940235,-0.023493644,-0.238013172,-1.438490128,-0.90756199,1.043380818,-0.546290354,3,3,3,2,3,3,3,3,2,3,3,3,2,3,3,2,3,3,1,1,3
894,1.431183446,1.09420919,-0.706235572,-1.049397647,1.499923751,-0.271267433,-0.593370825,-0.699552409,1,0,1,1,1,1,2,3,3,3,3,1,1,1,1,3,3,3,3,3,3
