"","R_LH","R_LH0","R_ROD","R_ON","R_FH","R_ONFH","R_M","R_SLH"
"1",0.838726513569937,0.206506610995129,0.209638135003479,0.314370215727209,0.74652052887961,0.585768963117606,0.0802018093249826,0.854384133611691
"2",0.0419276270006959,0.838726513569937,0.536708420320111,0.858559498956159,0.69258872651357,0.860647181628392,0.161621433542102,0.46294363256785
"3",0.295929018789144,0.0415796798886569,0.706506610995129,0.920146137787056,0.295233124565066,0.778183716075157,0.633785664578984,0.139004871259569
"4",0.602470424495477,0.295233124565066,0.244780793319415,0.666840640222686,0.329331941544885,0.470250521920668,0.283402922755741,0.0805497564370216
"5",0.127522616562283,0.602470424495477,0.848469032707029,0.808107167710508,0.76356993736952,0.858559498956159,0.684933890048713,0.469206680584551
"6",0.657794015309673,0.126478775226166,0.599686847599165,0.688065414057063,0.30393180236604,0.461203897007655,0.580549756437022,0.809151009046625
"7",0.451461377870564,0.658141962421712,0.168232428670842,0.895789839944328,0.443458594293667,0.804975643702157,0.0659359777313848,0.0617606123869172
"8",0.884307585247042,0.451113430758525,0.541579679888657,0.222512178148921,0.210681976339596,0.150835073068894,0.828288100208768,0.855775922059847
"9",0.244432846207376,0.884307585247042,0.639352818371608,0.190153096729297,0.355427974947808,0.201635351426583,0.883611691022965,0.578462073764788
"10",0.0802018093249826,0.243736951983299,0.23643006263048,0.599686847599165,0.789665970772443,0.791405706332637,0.0628044537230341,0.646659707724426
"11",0.45285316631872,0.552713987473904,0.278183716075157,0.994954766875435,0.49321503131524,0.321329157967989,0.188413361169102,0.937543493389005
"12",0.278183716075157,0.452505219206681,0.316457898399443,0.572894919972164,0.580201809324983,0.609777313848295,0.207550452331246,0.362038970076548
"13",0.873521224773834,0.277487821851079,0.6553583855254,0.502957550452331,0.482080723729993,0.487995824634656,0.748260264439805,0.362734864300626
"14",0.359951287404315,0.873521224773834,0.219380654140571,0.318893528183716,0.40553235908142,0.320633263743911,0.303235908141962,0.188413361169102
"15",0.885699373695198,0.359255393180237,0.754523312456507,0.737821851078636,0.54053583855254,0.693632567849687,0.76009046624913,0.235386221294363
"16",0.712073764787752,0.885699373695198,0.486951983298539,0.296624913013222,0.415274878218511,0.312978427279054,0.867954070981211,0.0224425887265136
"17",0.306367432150313,0.712421711899791,0.626130828114127,0.489039665970772,0.558281141266528,0.538448155880306,0.732254697286013,0.164752957550452
"18",0.176235212247738,0.305671537926235,0.139700765483646,0.472338204592902,0.626130828114127,0.577418232428671,0.0579331941544885,0.573590814196242
"19",0.60142658315936,0.175191370911621,0.0718510786360473,0.658141962421712,0.12821851078636,0.24652052887961,0.0586290883785665,0.463291579679889
"20",0.485560194850383,0.60142658315936,0.747216423103688,0.725991649269311,0.585421016005567,0.717292971468337,0.714161447459986,0.299060542797495
"21",0.631002087682672,0.485212247738344,0.679366736256089,0.285838552540014,0.685629784272791,0.49669450243563,0.753131524008351,0.504001391788448
"22",0.716597077244259,0.631002087682672,0.447981906750174,0.111169102296451,0.553061934585943,0.200591510090466,0.773312456506611,0.464683368128045
"23",0.739213639526792,0.716945024356298,0.759046624913013,0.779227557411273,0.748608211551844,0.838030619345859,0.436847599164927,0.7026791927627
"24",0.30393180236604,0.739561586638831,0.717988865692415,0.306367432150313,0.85821155184412,0.722512178148921,0.445198329853862,0.909011830201809
"25",0.906576200417537,0.303235908141962,0.871433542101601,0.607341684064022,0.832463465553236,0.823764787752262,0.743736951983299,0.806367432150313
"26",0.392310368823939,0.906576200417537,0.622303409881698,0.170668058455115,0.779575504523312,0.461203897007655,0.692936673625609,0.539491997216423
"27",0.0680236604036187,0.391614474599861,0.383263743910926,0.255567153792624,0.769137091162143,0.561760612386917,0.262526096033403,0.610125260960334
"28",0.888135003479471,0.0676757132915797,0.688761308281141,0.168580375782881,0.707550452331246,0.38500347947112,0.803583855254001,0.663013221990257
"29",0.394398051496173,0.888135003479471,0.571155184411969,0.441370911621434,0.780967292971468,0.710334029227557,0.333159359777314,0.637961029923452
"30",0.153270702853166,0.393702157272095,0.35821155184412,0.241997216423104,0.689457202505219,0.461203897007655,0.555149617258177,0.0575852470424495
"31",0.917710508002784,0.152226861517049,0.786534446764092,0.818545581071677,0.340466249130132,0.63517745302714,0.796276965901183,0.467814892136395
"32",0.317849686847599,0.917710508002784,0.814718162839248,0.259742519137091,0.867258176757133,0.698503827418232,0.783054975643702,0.633437717466945
