,R_LH,R_LH0,R_ROD,R_ON,R_FH,R_ONFH,R_M,R_SLH,LH0_ON,LH0_FH,LH0_ONFH,LH0_M,LH0_SLH,LH0_ROD,ON_FH,ON_ONFH,ON_M,ON_SLH,ON_ROD,FH_ONFH,FH_M,FH_SLH,FH_ROD,ONFH_M,ONFH_SLH,ONFH_ROD,M_SLH,M_ROD,SLH_ROD
0,0.9892374634367808,-0.8186025318787173,-0.807677481600404,-0.4835004625011049,0.6635803423251392,0.2166744335375083,-1.403715386973985,1.05542338414046,3,2,2,3,2,3,2,2,3,2,3,0,1,0,1,1,0,1,2,3,1
1,-1.7287421496902295,0.9892374634367808,0.0921445926013296,1.0738698856365625,0.5032015901002679,1.0832316003648217,-0.9878158020203188,-0.0930205126522945,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,3,2,2
2,-0.5361454400706432,-1.7326417724231558,0.5432077400773762,1.406055232447305,-0.5381604975131077,0.766073503351569,0.3418966499472523,-1.0848011354800111,2,3,2,2,3,2,1,0,0,1,0,2,2,3,2,0,1,0,1,0,2
3,0.2597467210187377,-0.5381604975131077,-0.6910062925415085,0.4312058240486562,-0.4417586231263179,-0.0746401302461412,-0.5727620090137424,-1.4013832015276535,2,3,3,3,3,3,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3
4,-1.138180227748303,0.2597467210187377,1.0298893843072718,0.8709422895124789,0.7178332238079586,1.0738698856365625,0.4815407571745818,-0.0772642111046418,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,2
5,0.4064500252935918,-1.143195210363361,0.2525366298922064,0.4903741407084055,-0.5131254004093396,-0.0974011972095263,0.2033000875182621,0.8747719876005206,2,3,3,2,2,2,1,1,0,0,0,3,2,2,2,2,2,2,0,0,0
6,-0.1219700273187058,0.40739748321574,-0.961173661147574,1.257921022258257,-0.1422061317390573,0.859529026978569,-1.506760898737186,-1.5401605442978197,0,1,0,1,1,1,1,0,1,1,1,2,3,3,3,1,1,1,3,3,3
7,1.1967992017168072,-0.1228487603088573,0.104414217749149,-0.7637363800717776,-0.8040571801239992,-1.0328584489873025,0.947421971453052,1.0615320932826895,3,3,3,2,2,2,3,3,2,2,2,3,2,2,2,2,2,2,0,0,0
8,-0.6921140764231245,1.1967992017168072,0.3567294406522849,-0.8773322625440491,-0.3707067665708151,-0.8357941770905183,1.1932368719704622,0.1979606483268286,1,1,1,0,0,0,3,3,2,2,2,3,2,2,2,2,2,2,0,0,0
9,-1.403715386973985,-0.6943321968687977,-0.7178332238079589,0.2525366298922064,0.8052627743830225,0.8113084000554817,-1.531649674171362,0.3763178850517763,2,2,2,3,2,3,0,0,1,0,1,0,1,0,1,1,0,1,2,3,1
10,-0.1184560300943769,0.1325212387870867,-0.5882456324460006,2.572713623554713,-0.0170082143330023,-0.463985246437987,-0.8837582610199278,1.5344742912784697,0,1,1,1,0,1,1,1,1,0,1,3,3,2,3,3,2,3,2,3,1
11,-0.5882456324460006,-0.1193343905857012,-0.4776268783177302,0.1837492636173675,0.2024097825023448,0.2787386849597279,-0.8149500460951987,-0.353014006338509,2,2,2,3,3,3,0,0,1,1,1,0,1,1,1,1,1,1,3,3,3
12,1.143195210363361,-0.5903207304370859,0.3998279689323537,0.0074135474958441,-0.0449320788154783,-0.0300945474479139,0.6690250931909233,-0.3511581182239238,2,3,3,2,3,2,1,1,0,1,0,3,2,3,2,2,3,2,1,0,2
13,-0.3585890029035035,1.143195210363361,-0.7742866301686335,-0.470795110744055,-0.2390527003330629,-0.4659287135440885,-0.5151162095285097,-0.8837582610199278,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
