datetime,R_LH,R_LH0,R_ROD,R_ON,R_FH,R_ONFH,R_M,R_SLH
2007-04-27,0.00043020004301985715,-0.003219575016098042,0.0010766580534022907,-0.0015073212747631626,0.001304722881173337,-0.00020456503014631977,0.0019276122376454818,-0.0006448839208942347
2007-04-30,-0.003253090435914041,0.00043020004301985715,-0.008600301010535327,-0.00021500752526337763,-0.0034408602150537426,-0.0036551279294774197,-0.004100129477773051,-0.0008667388949078481
2007-05-01,0.002393385552654559,-0.003253090435914041,0.0,0.00021758050478681845,-0.0017402653904720067,-0.001523063533507396,0.0034865983874481365,-0.00195439739413672
2007-05-02,-0.0007421030555286867,0.002393385552654559,0.009105708704145954,0.0004341219882788572,0.0023866348448686736,0.0028217929238116835,0.0071428571428571175,-0.0008704061895551396
2007-05-03,-0.0004397207237158973,-0.0007421030555286867,0.0035625874502207555,0.0016144656118826095,-0.0006447453255964408,0.0009686793671295213,0.0027956989247313047,-0.0002037315033240894
2007-05-04,0.000429184549356032,-0.0004397207237158973,0.0,0.0036480686695279374,-0.0006414368184733954,0.0030042918454935563,-0.004278990158322671,0.0012892135797164528
2007-05-07,-0.0006860769263754563,0.000429184549356032,0.00047190047190048823,0.0006435006435006052,0.0019292604501608412,0.002574002574002643,-0.0012836970474968679,-0.000814053127677683
2007-05-08,0.0008567144998929965,-0.0006860769263754563,0.0017163698777085123,-0.0030036472859901187,-0.0010759629868731801,-0.004076378459557994,0.004308487720809939,0.0015015015015014122
2007-05-09,-0.0012793176972279996,0.0008567144998929965,0.003637919965760794,-0.005135887010485618,0.0002151000215100396,-0.004921891718382088,0.007526881720430145,0.0010672358591248265
2007-05-10,-0.002164033758926709,-0.0012793176972279996,-0.013450042698548326,-0.0036293766011955553,0.0010713520462823922,-0.00256191289496166,-0.009203767123287632,-0.0017282350399654423
2007-05-14,0.0019413287316651928,0.002359502359502441,-0.00791782580783218,0.014313597918022225,0.0006414368184732844,0.001497967044725046,-0.011111111111111072,0.0017286084701815252
2007-05-15,-0.0019510080208108294,0.0019413287316651928,-0.006889128094725527,-0.0008611410118408713,-0.0008618832148243882,-0.0017222820236815206,-0.004097476816907419,-0.0010827197921177145
2007-05-16,0.003666163467759276,-0.0019510080208108294,0.007167680278019173,0.00369244135534319,0.000649210127678046,0.004344048653345034,0.0019463667820067698,0.0008633714655730262
2007-05-17,-0.002582866982350329,0.003666163467759276,-0.001718951439621752,-0.0008594757198109315,-0.00064516129032266,-0.001504082509669158,0.0006455777921239303,-0.0008602150537634357
2007-05-18,0.002146844139115478,-0.002582866982350329,0.005179110919292018,0.0030211480362536403,-0.0008605851979345269,0.002157962883038378,0.0023686477174849063,0.0006444683136412888
2007-05-21,0.002986348122866911,0.002146844139115478,0.00428449014567267,0.0012853470437017567,-0.0004065040650407248,0.0008783204798628041,0.007790929132510005,-0.004353828183073172
2007-05-22,-0.0001993662697722387,0.002986348122866911,0.002752020416843859,0.00042535091450446316,-0.0008503401360544505,-0.0004253509145045742,0.005263829787234053,-0.0020741882092982777
2007-05-23,-0.0024190285556099367,-0.0001993662697722387,-0.003797199830292808,0.0010606703436570886,0.002119093028184027,0.0031820110309714877,-0.006111228589553819,-0.0008510457224314427
2007-05-24,-0.0002167786689790674,-0.0024190285556099367,-0.01531354995154477,0.0001622288536822225,-0.0007469853804289439,-0.0005848777093285795,-0.014310123878684355,-0.0004333694474538685
2007-05-25,-0.0008602150537634357,-0.0002167786689790674,0.00823937554206422,0.0030355594102342565,0.0006485084306095956,0.0036860364267130574,0.004968675739900785,-0.00042992261392960085
2007-05-29,0.002508952887440241,-0.0008602150537634357,0.0037236332328884902,0.0006457167455875545,0.0038718003871800466,0.004520017219113326,-0.0021427040925648955,0.0013528022331974476
2007-05-30,0.004042553191489384,0.002508952887440241,0.005347593582887722,-0.005775401069518793,0.002581755593803914,-0.0032085561497325887,0.008369098712446288,0.0002128112364332413
2007-05-31,0.0021123785382339832,0.004042553191489384,0.0031786395422759295,0.0027548209366392573,0.0016906170752324368,0.00445009535918639,0.00042194092827019247,-0.001687051876845147
2007-06-04,-0.00021012817818877316,0.0021123785382339832,0.003161888701517901,-0.003583473861719977,0.002961709329384332,-0.000632377740303558,0.0014764817549040021,0.0023167649536648405
2007-06-05,0.0026343519494205214,-0.00021012817818877316,-0.002732240437158362,-0.0031525851197982124,-0.00021083702298119178,-0.0033627574611180266,-0.0016448755799240988,0.0022812724430738562
2007-06-06,-0.001906779661017044,0.0026343519494205214,-0.00788229111928529,-0.004308985811876109,-0.0008444162972345293,-0.005149763531266505,-0.0038030847242763732,0.0010604453870626251
2007-06-07,-0.005367110347788806,-0.001906779661017044,-0.011250265336446685,-0.004245383145829007,0.004903005755702461,0.0006368074718743344,-0.012123462028001741,0.00024694804427882744
2007-06-08,0.002350929685830394,-0.005367110347788806,0.009928771854090135,0.0,0.0037772501618822396,0.0037772501618822396,0.006128373293194267,0.0
2007-06-11,-0.002800762488951447,0.002350929685830394,0.0010980810234542115,-0.0002132196162046851,0.0027724461505651554,0.0025586353944564433,-0.001063377286261269,-0.0003938684266552306
2007-06-12,-0.0012872774082814953,-0.002800762488951447,-0.004485262708244342,-0.005339598462195672,0.000214730513205863,-0.005126014523707867,0.004937741519965844,-0.0042725913266397075
2007-06-13,0.004482390608324449,-0.0012872774082814953,0.0064446831364124435,0.004081632653061273,0.00018185708172868686,0.00426423200859305,0.003668566905890014,-0.0014919011082693556
