,R_LH,R_LH0,R_ROD,R_ON,R_FH,R_ONFH,R_M,R_SLH,LH0_ON,LH0_FH,LH0_ONFH,LH0_M,LH0_SLH,LH0_ROD,ON_FH,ON_ONFH,ON_M,ON_SLH,ON_ROD,FH_ONFH,FH_M,FH_SLH,FH_ROD,ONFH_M,ONFH_SLH,ONFH_ROD,M_SLH,M_ROD,SLH_ROD
0,2.0233498681515294,-1.718396695309061,0.0680243255800984,-0.4844569896487574,-0.6472119912760284,-0.8157806323319771,0.939555197987626,-0.4953346854852878,3,3,3,2,3,2,3,3,2,3,2,3,2,3,2,2,3,2,1,0,2
1,-0.6342890024523911,2.0233498681515294,-0.7999791401107353,-0.8889354191381708,-0.1500999058535527,-0.7375108352652215,-0.4395653732552433,-0.442465273338356,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,0.3373816029768935,-0.6342890024523911,0.8670142175607117,-0.3299634603045325,0.0592359565228978,-0.1385787135920986,1.3168359133617538,-0.2521699202433876,3,2,3,2,3,2,2,3,2,3,2,1,0,1,0,2,3,2,1,0,2
3,1.424493349488305,0.33552534201091,0.6933282649963433,0.4002894778827546,1.6704945666304576,1.4441194124393366,-0.6855417899768348,0.0953047395619265,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,2,0
4,-1.4851324281396512,1.424493349488305,-1.7419022948563745,-1.5259918410763686,0.6321454900578637,-0.8555760352340865,-1.706991389090403,-1.0939707437787511,1,0,1,1,1,1,2,3,3,3,3,1,1,1,1,3,3,3,3,3,3
5,1.6564994626651313,-1.4877798652357477,0.5867333807576817,-0.6119243298222097,-1.0367335707488043,-1.1330986025795986,1.626144946995792,0.0206122937949208,3,3,3,2,2,2,3,3,2,2,2,3,2,2,2,2,2,2,0,0,0
6,1.1688172798362784,1.6564994626651313,0.6877622385538196,0.3032209510184306,-1.0907852465433965,-0.6635194909311799,1.2207429905235263,1.0625995065136655,0,1,1,0,0,0,1,1,0,0,0,3,2,2,2,2,2,2,0,0,0
7,-1.646212172737556,1.1670825184204083,-1.3822337837587355,-0.9713970543629464,-0.1314979785362202,-0.7843749135515203,-1.329464132530044,-0.5578059387943461,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
8,1.5120904785195506,1.1881366779556235,-0.2594197322516837,1.4148827749784294,-0.7642528371202848,-0.3993394440799314,-0.424160774632477,1.329464132530045,0,1,1,1,0,1,1,1,1,0,1,3,3,2,3,3,2,3,2,3,1
9,-1.0071642635045908,1.5120904785195506,-0.9409197684849296,-0.7867630731979746,-0.4599441165102199,-0.8798578534934505,-0.1910384726727103,-1.3960441860075292,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
