"","R_LH","R_LH0","R_ROD","R_ON","R_FH","R_ONFH","R_M","R_SLH"
"1",0.978481455563331,0.0428621413575927,0.527116864940518,0.314030790762771,0.258747375787264,0.207312806158153,0.826277116864941,0.310181945416375
"2",0.26294611616515,0.978481455563331,0.21186144156753,0.1870188943317,0.440342897130861,0.230405878236529,0.330125962211337,0.329076277116865
"3",0.632085374387684,0.26294611616515,0.80703289013296,0.370713785864241,0.523617914625612,0.444891532540238,0.906053184044787,0.400454863540938
"4",0.922848145556333,0.631385584324703,0.755948215535339,0.655528341497551,0.95258922323303,0.925647305808257,0.246501049685094,0.537963610916725
"5",0.0687543736878936,0.922848145556333,0.0407627711686494,0.0635059482155353,0.736354093771868,0.196116165150455,0.0439118264520644,0.136983904828551
"6",0.951189643107068,0.0684044786564031,0.721308607417775,0.270293911826452,0.149930020993702,0.128586424072778,0.948040587823653,0.508222533240028
"7",0.878761371588523,0.951189643107068,0.754198740377887,0.619139258222533,0.137683694891533,0.253498950314906,0.88890832750175,0.856018194541638
"8",0.0498600419874038,0.878411476557033,0.0834499650104969,0.165675297410777,0.447690692792162,0.216410076976907,0.0918474457662701,0.288488453463961
"9",0.934744576627012,0.882610216934919,0.397655703289013,0.921448565430371,0.222358292512246,0.34482155353394,0.335724282715185,0.90815255423373
"10",0.156927921623513,0.934744576627012,0.173372988103569,0.215710286913926,0.322778166550035,0.189468159552134,0.424247725682295,0.0813505948215535
"11",0.992827151854444,0.156578026592022,0.905703289013296,0.830475857242827,0.499475157452764,0.738803358992302,0.831175647305808,0.949790062981106
"12",0.113191042687194,0.992827151854444,0.192617214835549,0.178971308607418,0.431595521343597,0.223757872638209,0.326627011896431,0.185619314205738
"13",0.944541637508747,0.112841147655703,0.739153254023793,0.779391182645206,0.508572428271518,0.69331700489853,0.659727081875437,0.716410076976907
"14",0.9907277816655,0.944541637508747,0.985829251224633,0.75,0.964835549335199,0.953988803358992,0.993526941917425,0.011371588523443
"15",0.688068579426172,0.9907277816655,0.650979706088174,0.600944716585024,0.383310006997901,0.494226731980406,0.689468159552134,0.734954513645906
"16",0.024667599720084,0.687718684394682,0.73075577326802,0.726906927921623,0.859867039888034,0.875612316305108,0.68666899930021,0.0358642407277817
"17",0.896606018194542,0.024667599720084,0.493876836948915,0.492127361791463,0.938243526941917,0.885059482155353,0.0928971308607418,0.767144856543037
"18",0.139433170048985,0.896606018194542,0.266794961511547,0.735654303708887,0.091147655703289,0.248600419874038,0.359167249825052,0.648180545836249
"19",0.850419874037789,0.139083275017495,0.761196641007698,0.381910426871938,0.316829951014696,0.288838348495451,0.865115465360392,0.905003498950315
"20",0.632435269419174,0.850069979006298,0.536913925822253,0.126137158852344,0.651679496151155,0.286039188243527,0.828026592022393,0.115640307907628
