,R_LH,R_LH0,R_ROD,R_ON,R_FH,R_ONFH,R_M,R_SLH,LH0_ON,LH0_FH,LH0_ONFH,LH0_M,LH0_SLH,LH0_ROD,ON_FH,ON_ONFH,ON_M,ON_SLH,ON_ROD,FH_ONFH,FH_M,FH_SLH,FH_ROD,ONFH_M,ONFH_SLH,ONFH_ROD,M_SLH,M_ROD,SLH_ROD
1465,0.374446204,-0.416892372,0.230087651,0.588245632,0.204190554,0.653828985,-0.343746574,-0.2363612,2,2,2,3,3,2,0,0,1,1,0,0,1,1,0,1,1,0,3,2,2
1466,0.739442843,0.373510856,-0.851982008,-0.51611238,-1.058472801,-0.948789063,-0.400772897,0.030094547,1,1,1,1,0,1,3,3,3,2,3,3,3,2,3,3,2,3,2,3,1
1467,-0.346523669,0.738296934,-0.354871111,-1.488029117,0.87094229,-1.058472801,0.859529027,-0.699892514,1,0,1,0,1,1,2,3,2,3,3,1,0,1,1,2,3,3,1,1,3
1468,1.317880981,-0.34744996,-0.659238669,0.471769726,0.44079726,0.666844821,-1.315805337,0.721222806,2,2,2,3,2,3,0,0,1,0,1,0,1,0,1,1,0,1,2,3,1
1469,-0.034457693,1.317880981,0.648438368,1.248358523,-0.599690387,0.829626173,0.142206132,-0.238155342,0,1,0,0,1,0,1,0,0,1,0,2,2,3,2,0,1,0,1,0,2
1470,-0.994944217,-0.036203131,-1.018102835,-1.432317811,0.405502932,-1.186157276,-0.501222792,0.243542395,3,2,3,3,2,3,2,3,3,2,3,1,1,0,1,3,2,3,2,3,1
1471,1.110286857,-0.994944217,0.734865007,0.760238494,-0.178429701,0.591359233,0.734865007,-0.732581857,2,3,2,2,3,2,1,0,0,1,0,2,2,3,2,0,1,0,1,0,2
1472,1.05238375,1.108672871,-0.800447387,0.589282864,0.051917671,0.582035458,-1.035836647,-1.336822921,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,3,3,3
1473,0.414039996,1.050867573,0.509149865,0.814950046,0.079888824,0.756749886,-0.205971973,0.460103555,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,2,0
1474,0.12284876,0.413089953,0.045805151,-1.233291723,0.635576958,-0.855749425,0.833323172,0.238155342,1,0,1,0,0,0,2,3,2,2,2,1,0,0,0,2,2,2,0,0,0
1475,0.209536778,0.121091389,0.121970027,-0.169574895,-0.177543602,-0.199739827,0.28055259,0.2390527,1,1,1,0,0,0,3,3,2,2,2,3,2,2,2,2,2,2,0,0,0
1476,0.987815802,0.208645329,-1.025452733,-0.046678258,-0.08513972,-0.04842458,-1.0832316,-0.959790327,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1477,0.32346045,0.986396134,0.723487137,0.8113084,1.002123551,1.158415535,-0.286908575,-0.094772568,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,3,2,2
1478,-0.034457693,0.322541571,-1.003565625,0.021369891,-0.132521239,-0.022242273,-1.108672871,-0.698778724,0,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3
1479,0.989237463,-0.036203131,-0.385696247,-0.21756741,0.139563512,-0.046678258,-0.474696266,-0.240847995,3,2,3,3,3,3,2,3,3,3,3,1,1,1,1,3,3,3,3,3,3
1480,1.464687258,0.987815802,-1.184396641,-2.032514469,-0.046678258,-1.889662878,0.750955906,-0.500234129,1,1,1,0,1,1,3,3,2,3,3,3,2,3,3,2,3,3,1,1,3
