"","R_LH","R_LH0","R_ROD","R_ON","R_FH","R_ONFH","R_M","R_SLH"
"1",0.934448289119569,0.893694732795079,0.298539023452518,0.596501345636294,0.230103806228374,0.382352941176471,0.704536716647443,0.0205690119184929
"2",0.00980392156862745,0.934448289119569,0.00442137639369473,0.0340253748558247,0.434256055363322,0.050557477893118,0.00826605151864667,0.0263360246059208
"3",0.991349480968858,0.00980392156862745,0.0470972702806613,0.811803152633602,0.907920030757401,0.924067666282199,0.0067281814686659,0.0617070357554787
"4",0.0063437139561707,0.991349480968858,0.126682045367166,0.937908496732026,0.1639753940792,0.764898116109189,0.310073048827374,0.000961168781237985
"5",0.998654363706267,0.0063437139561707,0.889465590157632,0.521530180699731,0.948289119569396,0.879853902345252,0.650711264898116,0.929834678969627
"6",0.0224913494809689,0.998654363706267,0.544213763936947,0.0813148788927336,0.148596693579393,0.0601691657054979,0.938677431757017,0.894463667820069
"7",0.709534794309881,0.0224913494809689,0.0363321799307958,0.0701653210303729,0.670319108035371,0.148596693579393,0.0132641291810842,0.976355247981546
"8",0.636101499423299,0.70876585928489,0.969434832756632,0.98481353325644,0.187427912341407,0.973279507881584,0.839484813533256,0.848712033833141
"9",0.988658208381392,0.635332564398308,0.00249903883121876,0.163590926566705,0.321222606689735,0.145136485966936,0.000576701268742791,0.323913879277201
"10",0.00288350634371396,0.988658208381392,0.0520953479430988,0.0198000768935025,0.603421760861207,0.0394079200307574,0.10322952710496,0.971357170319108
"11",0.950595924644368,0.00288350634371396,0.443483275663206,0.914455978469819,0.962514417531719,0.975586312956555,0.0451749327181853,0.0371011149557862
"12",0.871011149557862,0.950595924644368,0.524990388312188,0.919454056132257,0.841407151095732,0.949442522106882,0.0674740484429066,0.270472895040369
"13",0.979430988081507,0.870242214532872,0.0359477124183007,0.00211457131872357,0.998269896193772,0.00865051903114187,0.894079200307574,0.0447904652056901
"14",0.969819300269127,0.979430988081507,0.000961168781237985,0.000576701268742791,0.956747404844291,0.000961168781237985,0.00980392156862745,0.998654363706267
"15",0.736447520184544,0.969819300269127,0.0590157631680123,0.814878892733564,0.566897347174164,0.774125336409073,0.00249903883121876,0.991733948481353
"16",0.0132641291810842,0.735678585159554,0.0509419454056132,0.982122260668973,0.0447904652056901,0.881391772395233,0.00442137639369473,0.919069588619762
"17",0.984429065743945,0.0132641291810842,0.178200692041523,0.050557477893118,0.868704344482891,0.190119184928874,0.671856978085352,0.0186466743560169
"18",0.268166089965398,0.984429065743945,0.79680891964629,0.860246059207997,0.558823529411765,0.819492502883506,0.319684736639754,0.97443291041907
"19",0.00941945405613226,0.267397154940408,0.90638216070742,0.388888888888889,0.225490196078431,0.24317570165321,0.98558246828143,0.105151864667436
"20",0.0332564398308343,0.00941945405613226,0.950211457131872,0.02479815455594,0.930988081507113,0.112456747404844,0.991733948481353,0.957516339869281
"21",0.256247597078047,0.0332564398308343,0.249711649365629,0.872933487120338,0.0943867743175702,0.491541714725106,0.201653210303729,0.289311803152634
"22",0.112456747404844,0.255478662053057,0.195501730103806,0.669165705497885,0.937908496732026,0.904844290657439,0.0228758169934641,0.672241445597847
"23",0.198577470203768,0.112456747404844,0.138600538254517,0.090157631680123,0.987889273356401,0.794886582083814,0.0317185697808535,0.248173779315648
"24",0.00480584390618993,0.198193002691273,0.0290272971933872,0.909073433294887,0.526528258362168,0.86639753940792,0.00403690888119954,0.122837370242215
"25",0.861399461745483,0.00480584390618993,0.217031910803537,0.0359477124183007,0.010957324106113,0.00980392156862745,0.981737793156478,0.841407151095732
"26",0.97520184544406,0.860630526720492,0.939830834294502,0.819876970396001,0.965974625144175,0.960207612456747,0.23279507881584,0.991349480968858
