,R_LH,R_LH0,R_ROD,R_ON,R_FH,R_ONFH,R_M,R_SLH,LH0_ON,LH0_FH,LH0_ONFH,LH0_M,LH0_SLH,LH0_ROD,ON_FH,ON_ONFH,ON_M,ON_SLH,ON_ROD,FH_ONFH,FH_M,FH_SLH,FH_ROD,ONFH_M,ONFH_SLH,ONFH_ROD,M_SLH,M_ROD,SLH_ROD
2409,-0.418598728,-0.165548714,-0.338857057,0.261216683,-1.039158006,-0.525285333,0.027951436,0.020239442,2,3,3,2,2,3,1,1,0,0,1,3,2,2,3,2,2,3,0,1,1
2410,-0.562155619,-0.420703576,0.320541011,0.18120184,0.496733263,0.456781981,-0.12075749,0.183161527,2,2,2,3,2,2,0,0,1,0,0,0,1,0,0,1,0,0,2,2,0
2411,0.309400971,-0.564414422,0.614872409,0.113964838,0.42808532,0.37377244,0.627730198,-0.295277867,2,2,2,2,3,2,0,0,0,1,0,0,0,1,0,0,1,0,1,0,2
2412,-0.146038734,0.307379668,0.612545574,-1.176179235,0.931127193,-0.352156016,1.077973121,0.563284661,1,0,1,0,0,0,2,3,2,2,2,1,0,0,0,2,2,2,0,0,0
2413,0.099426438,-0.14798711,0.12075749,0.594048289,-0.438671399,0.154810902,-0.013492449,-0.109116179,2,3,2,3,3,2,1,0,1,1,0,2,3,3,2,1,1,0,3,2,2
2414,-0.232403631,0.097489638,0.289243256,0.14798711,0.23042389,0.250263348,0.148961508,-0.058820646,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,2
2415,-0.190026028,-0.234384283,0.013492449,0.616037076,-0.741039085,-0.042416269,-0.188063842,0.600960635,2,3,3,3,2,2,1,1,1,0,0,3,3,2,2,3,2,2,2,2,0
2416,0.100394977,-0.191988945,-0.935596516,-0.518659137,0.446110943,-0.055924732,-1.318800914,0.37687457,3,2,3,3,2,3,2,3,3,2,3,1,1,0,1,3,2,3,2,3,1
2417,-0.319526655,0.098457992,-0.082007785,0.435490464,-0.269202401,0.124641488,-0.502191975,0.555396324,0,1,0,1,0,1,1,0,1,0,1,2,3,2,3,1,0,1,2,3,1
2418,0.404961821,-0.321555696,-0.476122753,0.010601087,-0.78750196,-0.50109904,-0.065579742,-0.567808038,2,3,3,3,3,3,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3
2419,-0.248275093,0.402870567,-1.131183891,-0.531934673,-0.221526103,-0.533045178,-1.105962407,-0.618368921,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2420,0.055924732,-0.250263348,1.123904738,1.35410885,0.910511415,1.566367567,-0.270201813,0.909053665,2,2,2,3,2,2,0,0,1,0,0,0,1,0,0,1,0,0,2,2,0
2421,0.606742926,0.053994384,-0.520865325,0.859192129,-1.635788351,-0.689996993,-0.810041741,1.95684883,0,1,1,1,0,1,1,1,1,0,1,3,3,2,3,3,2,3,2,3,1
2422,1.24432637,0.604427586,-0.884560544,-0.982925751,-0.737239778,-1.172338624,-0.329685208,0.584875705,1,1,1,1,0,1,3,3,3,2,3,3,3,2,3,3,2,3,2,3,1
2423,-0.701043829,1.240156973,-0.597500894,-0.725905079,0.091681404,-0.498914963,-0.339877898,-0.377909419,1,0,1,1,1,1,2,3,3,3,3,1,1,1,1,3,3,3,3,3,3
2424,-0.337836568,-0.703510295,0.709695283,0.03952269,1.267654992,0.890275535,0.155786311,-0.001927435,2,2,2,2,3,2,0,0,0,1,0,0,0,1,0,0,1,0,1,0,2
2425,0.178263611,-0.339877898,-0.707218042,0.070409484,0.008673563,0.028915543,-1.086628382,0.4956433,2,2,2,3,2,3,0,0,1,0,1,0,1,0,1,1,0,1,2,3,1
2426,-0.247281334,0.176305648,0.03470078,0.668151472,-0.910511415,-0.132415189,0.076207353,0.191007394,0,1,1,0,0,0,1,1,0,0,0,3,2,2,2,2,2,2,0,0,0
2427,0.594048289,-0.249269098,-1.248517512,-0.800711417,-1.583015568,-1.515817318,-0.625384748,1.065989703,3,3,3,3,2,3,3,3,3,2,3,3,3,2,3,3,2,3,2,3,1
2428,-1.021136985,0.591750484,-1.034209867,-0.403915973,-1.81457908,-1.452070073,0.200831348,-0.138250694,1,1,1,0,1,1,3,3,2,3,3,3,2,3,3,2,3,3,1,1,3
2429,0.682679022,-1.021136985,-0.961284631,-1.254845658,-1.274138379,-1.566367567,0.633609002,-0.526391937,3,3,3,2,3,3,3,3,2,3,3,3,2,3,3,2,3,3,1,1,3
2430,0.624213313,0.680247819,-0.780948548,-1.500788682,1.136682839,-0.623042734,-0.683896137,0.23042389,1,0,1,1,0,1,2,3,3,2,3,1,1,0,1,3,2,3,2,3,1
2431,-1.003441627,0.621873008,1.267654992,0.998669887,0.346010437,0.972048284,0.89458093,0.962815465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2432,-0.762774574,-1.003441627,0.559899681,0.42281029,0.413344686,0.574614991,0.03470078,0.76794122,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2433,0.773128448,-0.764064323,-0.712176886,-0.5397221,-0.443982856,-0.675397429,-0.328667838,-0.498914963,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2434,0.883136307,0.770532242,0.129499138,-0.194934711,-0.940084607,-0.774428506,0.993920778,-0.387241445,1,1,1,0,1,0,3,3,2,3,2,3,2,3,2,2,3,2,1,0,2
2435,0.527499185,0.880293192,-0.276203996,0.103301163,-0.50109904,-0.261216683,-0.169458045,-0.146038734,0,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3
2436,-0.093617129,0.525285333,0.292259231,-0.028915543,0.5397221,0.326634116,0.232403631,-0.632431494,1,0,0,0,1,0,2,2,2,3,2,0,0,1,0,0,1,0,1,0,2
2437,0.429141752,-0.095553204,-0.654957381,-0.910511415,-0.158713431,-0.833000778,-0.119786777,-0.202798437,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2438,0.396607318,0.427029365,0.739771463,0.548662309,0.898902973,0.978249807,0.128527368,0.072341834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2439,0.5397221,0.394523034,-0.239339958,-0.587164212,-0.198865037,-0.565544903,0.247281334,0.019275536,1,1,1,0,0,1,3,3,2,2,3,3,2,2,3,2,2,3,0,1,1
2440,-0.231413647,0.5374938,0.251257846,0.349081578,0.347033787,0.4956433,-0.331720974,0.316485556,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,2,0
2441,0.602115481,-0.233393843,-0.155786311,0.018311649,0.215604017,0.162618378,-0.398693328,-0.369641848,2,2,2,3,3,3,0,0,1,1,1,0,1,1,1,1,1,1,3,3,3
2442,-0.019275536,0.599806591,0.268203257,-0.092649223,0.280210974,0.121728316,0.209689483,0.17043578,1,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
2443,-0.578028459,-0.021203366,-0.217577195,-0.283219159,0.512055636,0.148961508,-0.550904203,-0.043380874,3,2,2,3,3,3,2,2,3,3,3,0,1,1,1,1,1,1,3,3,3
2444,0.237356989,-0.580307848,0.39035959,0.561027293,-0.040487178,0.351130835,0.386202901,-0.672978186,2,3,2,2,3,2,1,0,0,1,0,2,2,3,2,0,1,0,1,0,2
2445,0.113964838,0.235374954,1.134846043,0.699812194,1.181972897,1.242238972,0.434431133,0.427029365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
