datetime,R_LH,R_LH0,R_ROD,R_ON,R_FH,R_ONFH,R_M,R_SLH
2007-04-25,-0.0006686279753944646,-0.0006750371270419775,0.010267495271548244,0.004660902458794913,-0.0012102467558662289,0.003445014860848472,0.005250757320767407,0.0015402129511818963
2007-04-26,-0.0020041418932461585,-0.0006686279753944646,0.00153887327713087,0.00020072260136494435,-0.0018730349856177497,-0.0016726883447075735,0.0028818443804032867,0.00033413525795245036
2007-04-27,-0.0001338508901083113,-0.0020041418932461585,0.0002008166543945311,-0.0023428609679362333,0.00013419216317767102,-0.0022089831983398422,0.00382396350462888,-0.0014034618726191939
2007-04-30,-0.003696733431913013,-0.0001338508901083113,-0.004149933065595746,0.0016064257028112205,-0.002205292702485817,-0.000602409638554291,-0.0022101667671289293,-0.0013424620754463046
2007-05-01,0.0013476180850349184,-0.003696733431913013,0.0012143290831816422,0.001956419078459337,-0.002019929975760948,-6.746272684332588e-05,0.0025637565780596283,-0.001278600269179031
2007-05-02,-0.0006011220945765228,0.0013476180850349184,0.007469214723100581,0.0019514164591885041,0.0016118200134316307,0.003566381804723573,0.004291269947700238,-0.0004005875283750182
2007-05-03,-0.00039914848323574503,-0.0006011220945765228,0.004611374724319939,0.002272271603288134,-6.668000266718543e-05,0.0022054400855444634,0.002600693518271413,-0.00019953441968745267
2007-05-04,-6.637461834591019e-05,-0.00039914848323574503,0.002662052442433227,0.0032610142419806643,0.00013266998341632252,0.0033941168641022923,-0.0019234595741859373,0.0011961722488038617
2007-05-07,-0.0001324678765398657,-6.637461834591019e-05,0.002190507799535224,0.0015267175572517555,0.001458112407211054,0.002987056090275386,-0.0005294506949039546,-0.0002648655807179212
2007-05-08,6.629101756727707e-05,-0.0001324678765398657,-0.0007286698463170316,-0.002649708532061479,-0.0013947927736450705,-0.004040805511393852,0.0020618556701030855,0.0012611177485728486
2007-05-09,-0.0006601531555320284,6.629101756727707e-05,0.0041097706482831065,-0.0014583057139071487,0.00013276686139152005,-0.0013257324671882564,0.0043143501924864935,0.0011235212477693768
2007-05-10,-0.002138322753090449,-0.0006601531555320284,-0.011428193949002408,-0.004293830096446016,0.00039806276122877904,-0.003897476549081791,-0.00636646992506118,-0.0012013615430822577
2007-05-11,0.0021263871353578434,-0.002138322753090449,0.0077680305363958535,0.002812562780419192,0.001268781302170341,0.004084912609656266,0.002601040416166489,0.0010643251513338114
2007-05-14,0.0012636339451981282,0.0021263871353578434,-0.002983887010145181,0.00033154300112725466,0.0017897388307037687,0.0021218752072142966,-0.006153642559385997,0.0010652463382159194
2007-05-15,-0.0009301089556206232,0.0012636339451981282,-0.00019926934573233357,0.0009963467286613348,0.00019907100199079153,0.0011956160743937794,-0.0011278444901479112,-0.0002656748140276166
2007-05-16,0.0021151431026507073,-0.0009301089556206232,0.00605133661391144,0.0027929245910360834,0.0005968169761272346,0.003391408431972387,0.002385843992312342,0.00026446280991732074
2007-05-17,-0.001845504877405757,0.0021151431026507073,0.0007255458083239574,-0.0015170503264957391,-0.0007266481701676542,-0.0022425961348195855,0.0035036689363390217,-0.0005270092226614675
2007-05-18,0.0017078297425117128,-0.001845504877405757,0.005282620179609232,0.003301637612255659,-6.581545346839857e-05,0.0032356048600106213,0.0017771342065424633,0.00026281208935619027
2007-05-21,0.0010488364470664369,0.0017078297425117128,0.0003278688524590567,0.0005245901639345796,-6.553938917297497e-05,0.0004590163934425906,0.0029494658189683776,-0.0030714939223630555
2007-05-22,-0.0011781646812409896,0.0010488364470664369,0.0004583851745136869,-6.548359635927259e-05,-0.0005893909626717431,-0.0006548359635910606,0.002358954196972629,-0.0012420736092043638
2007-05-23,-0.00242225859247136,-0.0011781646812409896,0.000982961992136433,0.002293577981651307,0.001699901928734926,0.003997378768020976,-0.002219176293975611,-0.0007849807025577249
2007-05-24,0.0,-0.00242225859247136,-0.0089906811917575,0.0009843811523821966,0.0008522913525208509,0.0018375114844468854,-0.010284291890475528,-0.0005294857369780859
2007-05-25,0.0009227524387029895,0.0,0.0047016753857360705,0.0031785974438780507,6.601095781899602e-05,0.003244818223958834,0.0015841584158415856,-0.00013180440226712165
2007-05-29,0.0012509052603859594,0.0009227524387029895,0.00019755037534552322,0.0005268010009218393,0.002369356324865235,0.0028974055050703384,-0.003545633617859645,0.0008566157090141857
2007-05-30,0.002549352856582754,0.0012509052603859594,0.00591793792740658,-0.004076801683324582,0.002244817113429276,-0.0018411362440821089,0.007905138339920903,-0.00013071895424843216
2007-05-31,-0.00039110879342940663,0.002549352856582754,0.0002608071982785898,0.0018908521875202755,0.000455551216972383,0.002347264784507974,-0.0016262278019905096,-0.00045608548345055233
2007-06-04,-6.482982171795992e-05,-0.00039110879342940663,0.005868927290511916,0.0012389957613303526,0.0016933698059138358,0.002934463645255958,0.0011053315994797863,0.0018185360784568338
2007-06-05,0.00019555439671470332,-6.482982171795992e-05,-0.005381224066390078,-0.003371369294605908,-0.0009107468123861207,-0.004279045643153512,-0.0027347310847767314,0.0016322799686603329
2007-06-06,-0.0009852216748769127,0.00019555439671470332,-0.007755474452554756,-0.0034541188738269613,-0.0016349486626120457,-0.005083420229405666,-0.0035372723699724773,0.0008545884827766415
2007-06-07,-0.005857294994675133,-0.0009852216748769127,-0.012228796844181322,-0.0035502958579881616,0.002441277381894924,-0.0011176857330702505,-0.01105772395181992,-6.655574043257229e-05
2007-06-08,0.0025886101154919405,-0.005857294994675133,0.008703802892340518,0.0004017139796463898,0.0026770178021684465,0.0030798071772897284,0.004939260445868454,0.000664187035068986
